120,"khj","2018-10-31",16,65,82,"M"
121,"khj","2018-10-31",16,78,10,"M"
122,"khj","2018-10-31",16,76,93,"M"
123,"khj","2018-10-31",16,91,80,"M"
124,"khj","2018-10-31",16,66,43,"M"
125,"khj","2018-10-31",16,79,78,"M"
126,"khj","2018-10-31",16,75,69,"M"
127,"khj","2018-10-31",16,91,80,"M"
128,"khj","2018-10-31",16,83,106,"M"
129,"khj","2018-10-31",16,94,105,"M"
130,"khj","2018-10-31",16,73,75,"M"
131,"khj","2018-10-31",16,84,48,"M"
132,"khj","2018-10-23",15,69,80,"M"
133,"khj","2018-10-23",15,81,93,"M"
134,"khj","2018-10-23",15,75,55,"M"
135,"khj","2018-10-31",16,71,33,"M"
136,"khj","2018-10-23",15,98,106,"M"
137,"khj","2018-10-23",15,77,87,"M"
138,"khj","2018-10-23",15,83,60,"M"
139,"khj","2018-10-31",17,90,75,"M"
140,"khj","2018-10-31",17,78,104,"M"
141,"khj","2018-10-31",17,83,87,"M"
142,"khj","2018-10-31",17,76,78,"M"
143,"khj","2018-10-23",15,64,54,"M"
144,"khj","2018-10-23",15,67,57,"M"
145,"khj","2018-10-31",17,78,38,"M"
146,"khj","2018-10-23",15,61,61,"M"
147,"khj","2018-10-23",15,71,96,"M"
148,"khj","2018-10-23",15,52,26,"M"
149,"khj","2018-10-23",15,76,113,"M"
150,"khj","2018-10-31",17,68,65,"M"
151,"khj","2018-10-31",17,78,86,"M"
152,"khj","2018-10-23",15,66,64,"M"
153,"khj","2018-10-23",15,78,79,"M"
154,"khj","2018-10-23",16,78,112,"M"
155,"khj","2018-10-31",17,63,77,"M"
156,"khj","2018-10-23",16,83,29,"M"
157,"khj","2018-10-23",16,73,58,"M"
158,"khj","2018-10-23",16,61,56,"M"
159,"khj","2018-10-23",16,90,95,"M"
160,"khj","2018-10-23",16,68,33,"M"
161,"khj","2018-10-23",16,83,104,"M"
162,"khj","2018-10-23",16,52,45,"M"
163,"khj","2018-10-23",16,77,71,"M"
164,"khj","2018-10-23",16,84,110,"M"
165,"khj","2018-10-23",16,77,76,"M"
166,"khj","2018-10-23",16,73,87,"M"
167,"khj","2018-10-23",16,84,92,"M"
168,"khj","2018-10-23",16,78,123,"M"
169,"khj","2018-10-23",16,92,102,"M"
170,"khj","2018-10-23",16,77,74,"M"
171,"khj","2018-10-23",16,90,-4,"M"
172,"khj","2018-10-23",16,80,70,"M"
173,"khj","2018-10-23",16,88,88,"M"
174,"khj","2018-10-23",16,78,122,"M"
175,"khj","2018-10-23",16,109,54,"M"
176,"khj","2018-10-23",16,76,78,"M"
177,"khj","2018-10-23",16,97,111,"M"
178,"khj","2018-10-23",16,59,99,"M"
179,"khj","2018-10-23",16,84,79,"M"
180,"khj","2018-10-23",16,78,68,"M"
181,"khj","2018-10-23",16,96,88,"M"
182,"khj","2018-10-23",16,87,121,"M"
183,"khj","2018-10-23",16,75,62,"M"
184,"khj","2018-10-23",16,62,73,"M"
185,"khj","2018-10-23",16,83,115,"M"
186,"khj","2018-10-23",16,74,76,"M"
187,"khj","2018-10-23",16,91,112,"M"
188,"khj","2018-10-23",16,68,82,"M"
189,"khj","2018-10-23",16,84,83,"M"
190,"khj","2018-10-23",16,73,60,"M"
191,"khj","2018-10-23",16,86,83,"M"
192,"khj","2018-10-23",16,69,67,"M"
193,"khj","2018-10-23",17,68,73,"M"
194,"khj","2018-10-23",17,77,38,"M"
195,"khj","2018-10-23",17,70,13,"M"
196,"khj","2018-10-23",17,79,56,"M"
197,"khj","2018-10-23",17,60,41,"M"
198,"khj","2018-10-23",17,75,53,"M"
199,"khj","2018-10-23",17,60,56,"M"
